experiment,n_feats,MAE,RMSE,P90_abs_err,within_5min,MAE_seed_sd,dMAE_vs_raw,dMAE_CI95,rel_gain_%,F1,dF1,AUC
M0_raw,15,3.592,4.622,7.374,0.751,0.002,0.0,"[0.000, 0.000]",0.0,0.813,0.0,0.962
M0b_raw_no_inhouse_ctx,12,5.112,6.62,10.51,0.587,0.003,-1.521,"[-1.618, -1.429]",-42.31,0.69,-0.123,0.89
M1_+time,26,4.041,5.269,8.577,0.706,0.005,-0.454,"[-0.780, -0.142]",-12.5,0.728,-0.085,0.94
M2_+geo,31,3.221,4.092,6.477,0.801,0.004,0.372,"[0.330, 0.422]",10.33,0.833,0.02,0.971
M3_+holiday,39,3.222,4.094,6.455,0.801,0.003,0.371,"[0.329, 0.422]",10.31,0.831,0.018,0.971
M4_+weather,55,3.225,4.097,6.467,0.801,0.006,0.368,"[0.327, 0.416]",10.22,0.831,0.018,0.97
M6_full_no_inhouse_ctx,52,4.472,5.739,9.358,0.641,0.005,-0.882,"[-0.979, -0.785]",-24.5,0.743,-0.07,0.933
X_raw+external_only,39,3.812,4.938,7.947,0.727,0.017,-0.22,"[-0.254, -0.183]",-6.13,0.775,-0.038,0.953
LOO_full_minus_time,44,3.228,4.109,6.491,0.8,0.002,0.365,"[0.324, 0.414]",10.13,0.831,0.018,0.97
LOO_full_minus_geo,50,3.99,5.171,8.403,0.708,0.009,-0.4,"[-0.638, -0.204]",-11.08,0.715,-0.098,0.942
LOO_full_minus_holiday,47,3.224,4.099,6.476,0.802,0.006,0.369,"[0.327, 0.419]",10.24,0.833,0.02,0.97
LOO_full_minus_weather,39,3.222,4.094,6.455,0.801,0.003,0.371,"[0.329, 0.422]",10.31,0.831,0.018,0.971
